순번,진원일자,진원시분,규모,계측소 구분,전송상태
1,2020-09-22,20:08,2.1,태안 화력,성공
2,2020-09-22,20:08,2.1,평택 화력,성공
3,2020-09-22,20:08,2.1,서인천 화력,성공
4,2020-09-22,20:08,2.1,군산 화력,성공
5,2020-09-22,20:08,2.1,태안 IGCC,성공
6,2020-09-20,1:22,2.2,태안 화력,성공
7,2020-09-20,1:22,2.2,평택 화력,성공
8,2020-09-20,1:22,2.2,서인천 화력,성공
9,2020-09-20,1:22,2.2,군산 화력,성공
10,2020-09-20,1:22,2.2,태안 IGCC,성공
11,2020-09-13,0:54,2.9,태안 화력,성공
12,2020-09-13,0:54,2.9,평택 화력,성공
13,2020-09-13,0:54,2.9,서인천 화력,성공
14,2020-09-13,0:54,2.9,군산 화력,성공
15,2020-09-13,0:54,2.9,태안 IGCC,성공
16,2020-09-12,13:31,2.4,태안 화력,성공
17,2020-09-12,13:31,2.4,평택 화력,성공
18,2020-09-12,13:31,2.4,서인천 화력,성공
19,2020-09-12,13:31,2.4,군산 화력,성공
20,2020-09-12,13:31,2.4,태안 IGCC,성공
21,2020-09-04,9:10,5,태안 화력,성공
22,2020-09-04,9:10,5,평택 화력,성공
23,2020-09-04,9:10,5,서인천 화력,성공
24,2020-09-04,9:10,5,군산 화력,성공
25,2020-09-04,9:10,5,태안 IGCC,성공
26,2020-09-02,19:43,2.3,태안 화력,성공
27,2020-09-02,19:43,2.3,평택 화력,성공
28,2020-09-02,19:43,2.3,서인천 화력,성공
29,2020-09-02,19:43,2.3,군산 화력,성공
30,2020-09-02,19:43,2.3,태안 IGCC,성공
31,2020-08-21,3:52,2.5,태안 화력,성공
32,2020-08-21,3:52,2.5,평택 화력,성공
33,2020-08-21,3:52,2.5,서인천 화력,성공
34,2020-08-21,3:52,2.5,군산 화력,성공
35,2020-08-21,3:52,2.5,태안 IGCC,성공
36,2020-08-07,21:27,2.4,태안 화력,성공
37,2020-08-07,21:27,2.4,평택 화력,성공
38,2020-08-07,21:27,2.4,서인천 화력,성공
39,2020-08-07,21:27,2.4,군산 화력,성공
40,2020-08-07,21:27,2.4,태안 IGCC,성공
41,2020-08-05,1:22,2,태안 화력,성공
42,2020-08-05,1:22,2,평택 화력,성공
43,2020-08-05,1:22,2,서인천 화력,성공
44,2020-08-05,1:22,2,군산 화력,성공
45,2020-08-05,1:22,2,태안 IGCC,성공
46,2020-08-01,13:15,2,태안 화력,성공
47,2020-08-01,13:15,2,평택 화력,성공
48,2020-08-01,13:15,2,서인천 화력,성공
49,2020-08-01,13:15,2,군산 화력,성공
50,2020-08-01,13:15,2,태안 IGCC,성공
51,2020-08-01,2:58,2,태안 화력,성공
52,2020-08-01,2:58,2,평택 화력,성공
53,2020-08-01,2:58,2,서인천 화력,성공
54,2020-08-01,2:58,2,군산 화력,성공
55,2020-08-01,2:58,2,태안 IGCC,성공
56,2020-07-25,0:34,2.2,태안 화력,성공
57,2020-07-25,0:34,2.2,평택 화력,성공
58,2020-07-25,0:34,2.2,서인천 화력,성공
59,2020-07-25,0:34,2.2,군산 화력,성공
60,2020-07-25,0:34,2.2,태안 IGCC,성공
61,2020-07-20,19:02,2,태안 화력,성공
62,2020-07-20,19:02,2,평택 화력,성공
63,2020-07-20,19:02,2,서인천 화력,성공
64,2020-07-20,19:02,2,군산 화력,성공
65,2020-07-20,19:02,2,태안 IGCC,성공
66,2020-07-15,15:20,2.4,태안 화력,성공
67,2020-07-15,15:20,2.4,평택 화력,성공
68,2020-07-15,15:20,2.4,서인천 화력,성공
69,2020-07-15,15:20,2.4,군산 화력,성공
70,2020-07-15,15:20,2.4,태안 IGCC,성공
71,2020-07-12,7:38,5.1,태안 화력,성공
72,2020-07-12,7:38,5.1,평택 화력,성공
73,2020-07-12,7:38,5.1,서인천 화력,성공
74,2020-07-12,7:38,5.1,군산 화력,성공
75,2020-07-12,7:38,5.1,태안 IGCC,성공
76,2020-07-11,22:38,2.7,태안 화력,성공
77,2020-07-11,22:38,2.7,평택 화력,성공
78,2020-07-11,22:38,2.7,서인천 화력,성공
79,2020-07-11,22:38,2.7,군산 화력,성공
80,2020-07-11,22:38,2.7,태안 IGCC,성공
81,2020-07-07,14:08,3.3,태안 화력,성공
82,2020-07-07,14:08,3.3,평택 화력,성공
83,2020-07-07,14:08,3.3,서인천 화력,성공
84,2020-07-07,14:08,3.3,군산 화력,성공
85,2020-07-07,14:08,3.3,태안 IGCC,성공
86,2020-07-03,13:59,2.3,태안 화력,성공
87,2020-07-03,13:59,2.3,평택 화력,성공
88,2020-07-03,13:59,2.3,서인천 화력,성공
89,2020-07-03,13:59,2.3,군산 화력,성공
90,2020-07-03,13:59,2.3,태안 IGCC,성공
91,2020-06-24,3:28,2.5,태안 화력,성공
92,2020-06-24,3:28,2.5,평택 화력,성공
93,2020-06-24,3:28,2.5,서인천 화력,성공
94,2020-06-24,3:28,2.5,군산 화력,성공
95,2020-06-24,3:28,2.5,태안 IGCC,성공
96,2020-06-23,19:58,2.1,태안 화력,성공
97,2020-06-23,19:58,2.1,평택 화력,성공
98,2020-06-23,19:58,2.1,서인천 화력,성공
99,2020-06-23,19:58,2.1,군산 화력,성공
100,2020-06-23,19:58,2.1,태안 IGCC,성공
101,2020-06-21,9:49,2.3,태안 화력,성공
102,2020-06-21,9:49,2.3,평택 화력,성공
103,2020-06-21,9:49,2.3,서인천 화력,성공
104,2020-06-21,9:49,2.3,군산 화력,성공
105,2020-06-21,9:49,2.3,태안 IGCC,성공
106,2020-06-14,0:51,6.3,태안 화력,성공
107,2020-06-14,0:51,6.3,평택 화력,성공
108,2020-06-14,0:51,6.3,서인천 화력,성공
109,2020-06-14,0:51,6.3,군산 화력,성공
110,2020-06-14,0:51,6.3,태안 IGCC,성공
111,2020-06-08,0:52,2.1,태안 화력,성공
112,2020-06-08,0:52,2.1,평택 화력,성공
113,2020-06-08,0:52,2.1,서인천 화력,성공
114,2020-06-08,0:52,2.1,군산 화력,성공
115,2020-06-08,0:52,2.1,태안 IGCC,성공
116,2020-06-04,2:21,2.5,태안 화력,성공
117,2020-06-04,2:21,2.5,평택 화력,성공
118,2020-06-04,2:21,2.5,서인천 화력,성공
119,2020-06-04,2:21,2.5,군산 화력,성공
120,2020-06-04,2:21,2.5,태안 IGCC,성공
121,2020-05-29,19:05,5.2,태안 화력,성공
122,2020-05-29,19:05,5.2,평택 화력,성공
123,2020-05-29,19:05,5.2,서인천 화력,성공
124,2020-05-29,19:05,5.2,군산 화력,성공
125,2020-05-29,19:05,5.2,태안 IGCC,성공
126,2020-05-27,19:23,2.8,태안 화력,성공
127,2020-05-27,19:23,2.8,평택 화력,성공
128,2020-05-27,19:23,2.8,서인천 화력,성공
129,2020-05-27,19:23,2.8,군산 화력,성공
130,2020-05-27,19:23,2.8,태안 IGCC,성공
131,2020-05-22,21:18,2.1,태안 화력,성공
132,2020-05-22,21:18,2.1,평택 화력,성공
133,2020-05-22,21:18,2.1,서인천 화력,성공
134,2020-05-22,21:18,2.1,군산 화력,성공
135,2020-05-22,21:18,2.1,태안 IGCC,성공
136,2020-05-19,13:13,5.3,태안 화력,성공
137,2020-05-19,13:13,5.3,평택 화력,성공
138,2020-05-19,13:13,5.3,서인천 화력,성공
139,2020-05-19,13:13,5.3,군산 화력,성공
140,2020-05-19,13:13,5.3,태안 IGCC,성공
141,2020-05-13,15:19,2.8,태안 화력,성공
142,2020-05-13,15:19,2.8,평택 화력,성공
143,2020-05-13,15:19,2.8,서인천 화력,성공
144,2020-05-13,15:19,2.8,군산 화력,성공
145,2020-05-13,15:19,2.8,태안 IGCC,성공
146,2020-05-11,19:45,3.8,태안 화력,성공
147,2020-05-11,19:45,3.8,평택 화력,성공
148,2020-05-11,19:45,3.8,서인천 화력,성공
149,2020-05-11,19:45,3.8,군산 화력,성공
150,2020-05-11,19:45,3.8,태안 IGCC,성공
151,2020-05-09,12:27,2.2,태안 화력,성공
152,2020-05-09,12:27,2.2,평택 화력,성공
153,2020-05-09,12:27,2.2,서인천 화력,성공
154,2020-05-09,12:27,2.2,군산 화력,성공
155,2020-05-09,12:27,2.2,태안 IGCC,성공
156,2020-05-09,1:57,2.2,태안 화력,성공
157,2020-05-09,1:57,2.2,평택 화력,성공
158,2020-05-09,1:57,2.2,서인천 화력,성공
159,2020-05-09,1:57,2.2,군산 화력,성공
160,2020-05-09,1:57,2.2,태안 IGCC,성공
161,2020-05-07,2:07,2.1,태안 화력,성공
162,2020-05-07,2:07,2.1,평택 화력,성공
163,2020-05-07,2:07,2.1,서인천 화력,성공
164,2020-05-07,2:07,2.1,군산 화력,성공
165,2020-05-07,2:07,2.1,태안 IGCC,성공
166,2020-05-05,6:44,2.4,태안 화력,성공
167,2020-05-05,6:44,2.4,평택 화력,성공
168,2020-05-05,6:44,2.4,서인천 화력,성공
169,2020-05-05,6:44,2.4,군산 화력,성공
170,2020-05-05,6:44,2.4,태안 IGCC,성공
171,2020-05-03,22:07,3.1,태안 화력,성공
172,2020-05-03,22:07,3.1,평택 화력,성공
173,2020-05-03,22:07,3.1,서인천 화력,성공
174,2020-05-03,22:07,3.1,군산 화력,성공
175,2020-05-03,22:07,3.1,태안 IGCC,성공
176,2020-05-03,20:54,6,태안 화력,성공
177,2020-05-03,20:54,6,평택 화력,성공
178,2020-05-03,20:54,6,서인천 화력,성공
179,2020-05-03,20:54,6,군산 화력,성공
180,2020-05-03,20:54,6,태안 IGCC,성공
181,2020-05-02,2:57,2.3,태안 화력,성공
182,2020-05-02,2:57,2.3,평택 화력,성공
183,2020-05-02,2:57,2.3,서인천 화력,성공
184,2020-05-02,2:57,2.3,군산 화력,성공
185,2020-05-02,2:57,2.3,태안 IGCC,성공
186,2020-04-30,7:13,2.4,태안 화력,성공
187,2020-04-30,7:13,2.4,평택 화력,성공
188,2020-04-30,7:13,2.4,서인천 화력,성공
189,2020-04-30,7:13,2.4,군산 화력,성공
190,2020-04-30,7:13,2.4,태안 IGCC,성공
191,2020-04-29,15:10,2.4,태안 화력,성공
192,2020-04-29,15:10,2.4,평택 화력,성공
193,2020-04-29,15:10,2.4,서인천 화력,성공
194,2020-04-29,15:10,2.4,군산 화력,성공
195,2020-04-29,15:10,2.4,태안 IGCC,성공
196,2020-04-28,12:52,2.1,태안 화력,성공
197,2020-04-28,12:52,2.1,평택 화력,성공
198,2020-04-28,12:52,2.1,서인천 화력,성공
199,2020-04-28,12:52,2.1,군산 화력,성공
200,2020-04-28,12:52,2.1,태안 IGCC,성공
201,2020-04-28,12:06,2.4,태안 화력,성공
202,2020-04-28,12:06,2.4,평택 화력,성공
203,2020-04-28,12:06,2.4,서인천 화력,성공
204,2020-04-28,12:06,2.4,군산 화력,성공
205,2020-04-28,12:06,2.4,태안 IGCC,성공
206,2020-04-27,11:07,2.8,태안 화력,성공
207,2020-04-27,11:07,2.8,평택 화력,성공
208,2020-04-27,11:07,2.8,서인천 화력,성공
209,2020-04-27,11:07,2.8,군산 화력,성공
210,2020-04-27,11:07,2.8,태안 IGCC,성공
211,2020-04-24,2:07,2.3,태안 화력,성공
212,2020-04-24,2:07,2.3,평택 화력,성공
213,2020-04-24,2:07,2.3,서인천 화력,성공
214,2020-04-24,2:07,2.3,군산 화력,성공
215,2020-04-24,2:07,2.3,태안 IGCC,성공
216,2020-04-23,13:44,5.5,태안 화력,성공
217,2020-04-23,13:44,5.5,평택 화력,성공
218,2020-04-23,13:44,5.5,서인천 화력,성공
219,2020-04-23,13:44,5.5,군산 화력,성공
220,2020-04-23,13:44,5.5,태안 IGCC,성공
221,2020-04-22,20:54,2.1,태안 화력,성공
222,2020-04-22,20:54,2.1,평택 화력,성공
223,2020-04-22,20:54,2.1,서인천 화력,성공
224,2020-04-22,20:54,2.1,군산 화력,성공
225,2020-04-22,20:54,2.1,태안 IGCC,성공
226,2020-04-18,7:36,2.3,태안 화력,성공
227,2020-04-18,7:36,2.3,평택 화력,성공
228,2020-04-18,7:36,2.3,서인천 화력,성공
229,2020-04-18,7:36,2.3,군산 화력,성공
230,2020-04-18,7:36,2.3,태안 IGCC,성공
